Data size: 50
l1 3819.66	f1 -0.000130858	l2 6180.34	f2 -8.08748e-05 0
l1 2360.68	f1 -0.000211733	l2 3819.66	f2 -0.000130858 0
l1 1458.98	f1 -0.000342591	l2 2360.68	f2 -0.000211733 0
l1 901.7	f1 -0.000554324	l2 1458.98	f2 -0.000342591 0
l1 557.281	f1 -0.000896913	l2 901.7	f2 -0.000554324 0
l1 344.419	f1 -0.00145123	l2 557.281	f2 -0.000896913 0
l1 212.862	f1 -0.00234813	l2 344.419	f2 -0.00145123 0
l1 131.556	f1 -0.0037993	l2 212.863	f2 -0.00234813 0
l1 81.3063	f1 -0.0061472	l2 131.556	f2 -0.0037993 0
l1 50.2501	f1 -0.00994552	l2 81.3063	f2 -0.0061472 0
l1 31.0563	f1 -0.0160886	l2 50.2501	f2 -0.00994552 0
l1 19.1939	f1 -0.0260167	l2 31.0563	f2 -0.0160886 0
l1 11.8625	f1 -0.042032	l2 19.1939	f2 -0.0260167 0
l1 7.33148	f1 -0.0677405	l2 11.8625	f2 -0.042032 0
l1 4.53114	f1 -0.108487	l2 7.33148	f2 -0.0677405 0
l1 2.80044	f1 -0.171	l2 4.53114	f2 -0.108487 0
l1 1.7308	f1 -0.259478	l2 2.80044	f2 -0.171 0
l1 1.06973	f1 -0.363507	l2 1.7308	f2 -0.259478 0
l1 0.66117	f1 -0.44758	l2 1.06973	f2 -0.363507 0
l1 0.408664	f1 -0.481226	l2 0.66117	f2 -0.44758 0
l1 0.252606	f1 -0.476908	l2 0.408664	f2 -0.481226 0
l1 0.408664	f1 -0.481226	l2 0.505112	f2 -0.472724 0
l1 0.349055	f1 -0.482527	l2 0.408664	f2 -0.481226 0
l1 0.312215	f1 -0.481554	l2 0.349055	f2 -0.482527 0
l1 0.349055	f1 -0.482527	l2 0.371824	f2 -0.482433 0
l1 0.334983	f1 -0.482324	l2 0.349055	f2 -0.482527 0
l1 0.349055	f1 -0.482527	l2 0.357752	f2 -0.482552 0
l1 0.357752	f1 -0.482552	l2 0.363127	f2 -0.48253 0
l1 0.35443	f1 -0.482552	l2 0.357752	f2 -0.482552 0
l1 0.357752	f1 -0.482552	l2 0.359805	f2 -0.482547 0
l1 0.356483	f1 -0.482554	l2 0.357752	f2 -0.482552 0
l1 0.355699	f1 -0.482554	l2 0.356483	f2 -0.482554 0
l1 0.355214	f1 -0.482554	l2 0.355699	f2 -0.482554 0
l1 0.355699	f1 -0.482554	l2 0.355998	f2 -0.482554 0
l1 3819.66	f1 -0.000130858	l2 6180.34	f2 -8.08748e-05 1
l1 2360.68	f1 -0.000211733	l2 3819.66	f2 -0.000130858 1
l1 1458.98	f1 -0.000342591	l2 2360.68	f2 -0.000211733 1
l1 901.7	f1 -0.000554324	l2 1458.98	f2 -0.000342591 1
l1 557.281	f1 -0.000896913	l2 901.7	f2 -0.000554324 1
l1 344.419	f1 -0.00145123	l2 557.281	f2 -0.000896913 1
l1 212.862	f1 -0.00234813	l2 344.419	f2 -0.00145123 1
l1 131.556	f1 -0.00379931	l2 212.863	f2 -0.00234813 1
l1 81.3063	f1 -0.00614725	l2 131.556	f2 -0.00379931 1
l1 50.2501	f1 -0.00994571	l2 81.3063	f2 -0.00614725 1
l1 31.0563	f1 -0.0160894	l2 50.2501	f2 -0.00994571 1
l1 19.1939	f1 -0.0260201	l2 31.0563	f2 -0.0160894 1
l1 11.8625	f1 -0.0420464	l2 19.1939	f2 -0.0260201 1
l1 7.33148	f1 -0.0678007	l2 11.8625	f2 -0.0420464 1
l1 4.53114	f1 -0.108736	l2 7.33148	f2 -0.0678007 1
l1 2.80044	f1 -0.17199	l2 4.53114	f2 -0.108736 1
l1 1.7308	f1 -0.263064	l2 2.80044	f2 -0.17199 1
l1 1.06973	f1 -0.374097	l2 1.7308	f2 -0.263064 1
l1 0.66117	f1 -0.469675	l2 1.06973	f2 -0.374097 1
l1 0.408664	f1 -0.512236	l2 0.66117	f2 -0.469675 1
l1 0.252606	f1 -0.509854	l2 0.408664	f2 -0.512236 1
l1 0.408664	f1 -0.512236	l2 0.505112	f2 -0.500661 1
l1 0.349055	f1 -0.514763	l2 0.408664	f2 -0.512236 1
l1 0.312215	f1 -0.514163	l2 0.349055	f2 -0.514763 1
l1 0.349055	f1 -0.514763	l2 0.371824	f2 -0.514286 1
l1 0.334983	f1 -0.514738	l2 0.349055	f2 -0.514763 1
l1 0.349055	f1 -0.514763	l2 0.357752	f2 -0.514656 1
